"","U2OS","MCF7","GAMG","LN229","SF295","HEC108","HEC151","HEC251","HEC265","HEC59","HEC6","ISHIKAWAHERAKLIO02ER","JHUEM2","KLE","MFE319","SNGM","AMO1","BL70","EJM","GDM1","HT","KMS11","KU812","LP1","MC116","MOLM16","NOMO1","NUDUL1","OCIAML3","OCILY10","P3HR1","PL21","RPMI8226","SKM1","SUDHL4","SUDHL5","THP1","U937","WSUDLCL2","RCC10RGB","VMRCRCW","C2BBE1","CL34","CL40","COLO205","COLO320","COLO678","CW2","DLD1","GP2D","HCT116","HCT8","HT115","HT29","HT55","KM12","LOVO","LS123","LS180","LS411N","LS513","MDST8","NCIH508","RCM1","RKO","SKCO1","SNU1040","SNU175","SNU61","SNU81","SNUC2A","SNUC4","SNUC5","SW403","SW48","SW480","SW620","SW948","HEPG2","JHH6","SNU398","SNU449","A549","BEN","CAL12T","CALU3","CALU6","CHAGOK1","COLO668","COLO699","CORL23","CORL279","CORL51","CORL88","DMS273","DV90","EBC1","EPLC272H","HARA","HCC1195","HCC1359","HCC15","HCC1833","HCC2108","HCC2935","HCC33","HCC4006","HCC44","HCC78","HCC827","KNS62","LC1SQSF","LCLC103H","LCLC97TM1","LU65","LU99","LXF289","NCIH1048","NCIH1105","NCIH1299","NCIH1355","NCIH1373","NCIH1435","NCIH1437","NCIH1568","NCIH1573","NCIH1666","NCIH1694","NCIH1755","NCIH1781","NCIH1792","NCIH1793","NCIH1836","NCIH1876","NCIH1915","NCIH1930","NCIH1944","NCIH1963","NCIH1975","NCIH2009","NCIH2023","NCIH2029","NCIH2030","NCIH2073","NCIH2081","NCIH2110","NCIH2122","NCIH2126","NCIH2141","NCIH2172","NCIH2286","NCIH23","NCIH2342","NCIH2405","NCIH3255","NCIH358","NCIH441","NCIH460","NCIH522","NCIH596","NCIH650","NCIH661","NCIH727","NCIH810","NCIH82","NCIH841","RERFLCKJ","SCLC21H","SHP77","SKLU1","SQ1","T3M10","VMRCLCD","KYSE140","KYSE410","KYSE450","A2780","CAOV3","COV318","COV362","COV434","COV644","EFO21","EFO27","HEYA8","IGROV1","JHOC5","JHOM1","JHOS4","OAW42","OV7","OV90","OVCAR4","OVCAR8","OVK18","OVKATE","OVMANA","RKN","RMGI","RMUGS","SKOV3","SNU840","TYKNU","CAPAN2","CFPAC1","HPAC","HUPT4","KP3","PANC0327","PANC1005","PATU8902","QGP1","SUIT2","MSTO211H","NCIH2052","NCIH28","PC3","A375","COLO741","G361","HS852T","HS936T","HS944T","SKMEL1","SKMEL28","SKMEL5","G401","HT1080","AGS","FU97","KE97","MKN7","MKN74","NUGC4","SH10TC","HSC2","SCC9","5637","HT1376","KMBC2","RT4","UMUC3"
"LE-135",6.4097,6.0511,NA,6.1396,NA,NA,3.2634,NA,NA,NA,NA,NA,5.771,NA,NA,NA,7.0504,NA,4.5314,6.449,NA,5.8239,NA,5.4846,NA,5.8579,5.0091,1.0864,4.9501,5.5894,NA,5.5746,5.5846,5.4458,4.2453,5.5654,3.8924,4.6889,3.1839,4.3296,NA,NA,6.4406,8.0575,NA,7.0187,6.5738,6.1289,NA,NA,5.3551,6.1306,6.6119,6.1233,6.3459,6.6814,5.0368,5.61,2.7352,NA,NA,6.1265,6.979,6.1434,5.9801,NA,6.4805,5.8576,6.863,6.8613,NA,5.7421,6.4524,NA,NA,5.2296,4.9369,6.0535,7.4498,NA,6.2752,NA,NA,NA,6.5667,NA,NA,NA,NA,6.4581,6.3652,NA,6.2824,NA,NA,NA,NA,NA,NA,6.278,6.6856,6.6248,6.7625,5.7739,6.9501,NA,5.3219,NA,NA,7.307,NA,NA,NA,NA,NA,NA,NA,NA,3.4029,NA,NA,NA,NA,NA,NA,NA,NA,4.1619,6.7001,4.5481,NA,NA,7.0612,4.9293,NA,NA,NA,6.1755,NA,NA,6.1235,NA,6.1895,6.5858,6.711,6.3092,6.3183,NA,5.7102,6.6,NA,NA,5.9618,NA,6.9339,NA,6.5659,7.4678,NA,6.0869,NA,NA,NA,NA,NA,5.5988,NA,5.4478,NA,6.0523,6.9112,6.1027,NA,NA,NA,NA,5.9906,5.3041,NA,7.5031,5.3869,6.8773,NA,6.3776,NA,5.9232,4.8002,5.4102,NA,7.2819,7.0794,5.4818,4.9807,3.1001,4.5732,4.4919,NA,5.0996,5.4844,5.4561,NA,6.4825,4.5275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7518,NA,NA,NA,NA,NA,6.9846,6.7121,6.656,NA,5.3258,7.6115,NA,NA,NA,NA,NA,NA,NA,7.2983,NA,NA,NA,NA,NA
"rotenone",6.5074,4.8622,NA,5.4127,NA,NA,1.2626,NA,NA,NA,NA,NA,5.0261,NA,NA,NA,3.6098,NA,4.0502,4.4308,NA,2.6047,NA,3.703,NA,3.1219,6.2365,3.3213,3.8596,7.2152,NA,2.7111,3.785,2.9577,4.3275,0.63321,2.5604,1.7708,3.9746,2.2951,NA,NA,6.1122,6.8187,NA,NA,6.7469,3.0177,NA,NA,3.6441,5.9512,5.4514,5.2837,5.3994,4.8999,4.3079,5.1799,3.708,NA,NA,6.0022,5.7534,5.9479,5.4962,NA,5.1826,2.4324,5.146,4.9242,NA,4.0042,2.6416,NA,NA,1.1475,0.22481,4.461,4.5749,NA,4.7338,NA,NA,NA,2.249,NA,NA,NA,NA,5.2823,6.6242,NA,4.5354,NA,NA,NA,NA,NA,NA,6.9999,5.9236,4.5204,5.574,2.931,5.8434,NA,5.0446,NA,NA,5.8213,NA,NA,NA,NA,NA,NA,NA,NA,4.6086,NA,NA,NA,NA,NA,NA,NA,NA,4.7156,5.1345,5.1794,NA,NA,4.7497,4.3604,NA,NA,NA,2.5027,NA,5.1992,6.5127,NA,2.145,5.2799,5.486,6.299,5.3187,NA,4.8998,4.6462,NA,NA,5.7147,NA,4.7555,NA,6.1308,3.098,NA,4.3146,NA,NA,NA,NA,NA,3.5236,NA,2.6614,NA,2.9326,6.705,5.7607,NA,NA,NA,NA,4.1435,6.167,NA,6.8704,4.7762,5.2388,NA,5.9728,NA,5.03,5.2929,4.8566,NA,8.8538,7.1825,4.0501,4.1915,4.0125,4.7104,4.1901,NA,4.9723,5.6327,4.215,NA,6.1645,2.5238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3359,NA,NA,NA,NA,NA,4.5465,1.6367,2.9276,NA,1.7544,5.4726,NA,NA,NA,NA,NA,NA,NA,6.3862,NA,NA,NA,NA,NA
"FGIN-1-27",6.6711,5.9812,6.4341,6.4746,NA,6.5526,5.6473,NA,NA,6.786,NA,6.4389,6.4198,6.3672,NA,6.4118,6.2504,6.1604,7.0392,6.266,NA,6.1559,NA,6.1352,NA,7.2346,6.8766,6.46,6.2782,7.6114,NA,5.8916,6.5937,6.295,7.599,6.9708,6.2301,6.8029,7.0417,6.6192,NA,NA,6.8651,7.1052,NA,NA,7.0999,6.4278,NA,NA,6.6676,7.386,6.4084,6.8701,7.5401,6.5378,6.3096,6.6959,6.3998,NA,NA,7.2393,7.2773,6.3883,7.0687,NA,7.0022,5.9563,6.8489,6.4762,NA,5.9871,6.6751,NA,NA,6.0956,6.3687,6.1816,7.4443,7.1245,6.2769,6.0252,NA,NA,7.1077,NA,NA,NA,6.2558,6.881,7.6584,NA,5.8717,NA,NA,NA,NA,NA,NA,7.1451,8.0404,6.5715,7.0333,6.7253,6.6107,NA,6.8805,NA,NA,6.8782,NA,NA,NA,NA,NA,NA,5.6236,NA,6.6807,NA,NA,NA,6.1628,NA,NA,NA,NA,7.9379,7.1505,6.9903,NA,NA,6.2108,6.8598,7.0147,6.4186,NA,6.7331,NA,6.43,6.4396,NA,6.8769,6.8547,7.2408,6.9422,6.403,NA,8.5163,6.6501,5.9195,NA,6.0105,NA,7.1555,NA,6.4251,7.2549,NA,6.4946,NA,NA,NA,NA,NA,6.0101,6.2717,6.1314,NA,6.742,6.8422,6.3916,NA,NA,NA,NA,7.0143,6.6377,6.4445,7.0678,6.1207,7.1779,NA,6.9614,NA,6.8439,6.7078,6.2065,6.3988,7.6213,7.2742,6.3142,5.9328,6.5597,5.9742,6.8901,6.9047,7.0418,5.8655,5.5677,NA,5.4971,6.6908,NA,NA,NA,NA,NA,NA,NA,6.488,NA,NA,NA,NA,NA,6.3967,6.8635,NA,NA,6.2111,NA,NA,6.7251,6.8533,7.0012,NA,7.104,7.0345,NA,NA,NA,6.4329,NA,NA,NA,7.3943,NA,NA,NA,NA,NA
"avrainvillamide",5.2444,5.9623,6.2055,5.8403,6.241,4.7523,4.3739,4.2391,3.9066,5.6014,4.3123,4.9936,6.6343,5.5816,3.7747,5.6828,4.9855,3.7994,4.2734,4.3066,3.7464,4.98,2.4674,4.8617,4.98,4.4339,4.5441,3.8982,2.363,5.2783,2.6608,4.5469,4.6801,2.0263,5.3175,4.5041,3.5149,5.938,3.6574,7.1277,5.7084,5.6149,6.5364,7.4546,2.524,6.7502,6.0979,6.3967,3.8347,3.0304,5.9468,7.2049,6.1702,7.2159,7.0155,6.1557,5.5039,5.732,6.1214,4.1045,2.1394,5.7951,6.399,5.7711,5.6646,4.0522,7.2562,4.3195,7.1704,5.9994,4.4574,6.1911,5.4219,5.0234,1.5909,6.3687,6.4773,6.546,7.5744,6.1709,4.5455,6.2241,4.5929,5.2378,6.9828,6.0711,5.0833,3.8071,4.4245,5.7019,7.009,3.7451,3.5643,4.5175,4.4065,5.9962,4.6339,3.4384,4.5364,5.7036,5.9041,6.068,5.0209,6.482,5.3831,2.7436,5.2522,4.9514,4.6171,6.1675,3.9757,5.565,4.1546,5.3513,5.3314,2.4921,6.345,3.4092,5.3291,4.3864,5.9987,4.9725,5.5446,3.9071,2.1856,4.9842,3.0596,4.8148,7.2749,6.3541,4.713,6.2654,4.937,4.4403,5.5847,5.3298,3.9909,3.3811,3.1681,5.7952,7.0325,3.3093,6.4739,7.0045,5.7165,5.5581,6.4428,4.1325,5.5483,6.7911,5.8143,2.4785,6.5435,5.0211,5.0907,3.5797,6.2411,6.7642,2.5539,6.5703,4.2669,4.8685,3.3704,2.4523,3.8949,6.1568,5.5737,5.6671,2.4592,5.9709,6.0761,6.5048,3.2385,3.5191,5.4329,4.8533,5.5662,5.7036,6.2791,7.0836,3.879,6.4571,6.2335,6.0937,3.3931,5.9161,5.7478,5.9722,5.5722,7.6077,7.2525,6.2918,5.2227,4.4483,3.0741,4.9158,6.6571,6.1369,4.2378,5.5026,6.0597,5.2353,5.6296,5.6014,6.1482,6.0156,3.9285,5.2952,3.608,4.8439,5.2561,4.0963,5.4212,4.127,5.2086,2.8112,4.6559,5.3454,4.6263,4.6674,4.1616,4.0285,4.3928,5.642,6.1501,6.5332,3.8113,6.3538,5.352,4.3152,1.8978,5.6623,5.7925,5.2615,5.4481,4.1534,6.5649,4.9262,3.8499,5.5653,4.6368,5.4638
"SR-II-138A",4.315,3.9488,4.8513,4.9484,NA,4.156,3.2981,NA,NA,5.1472,NA,3.7271,3.5193,3.0855,NA,4.4041,4.3914,1.9489,2.4356,0.74127,NA,1.8817,NA,3.7723,NA,3.2473,2.9818,1.6946,1.3445,2.2486,NA,2.1265,2.1472,1.0199,1.6117,2.6385,2.8316,2.8804,1.2627,6.722,NA,NA,4.0819,4.4499,NA,3.9557,3.9839,4.0013,NA,NA,2.9522,4.3748,4.0412,5.629,4.193,2.7624,3.3843,4.5038,3.0447,NA,NA,5.1854,4.2959,4.0686,4.8412,NA,4.3384,3.0737,5.4888,3.288,NA,2.9765,3.7407,NA,NA,4.3336,4.2237,3.6861,6.4224,6.405,4.6744,5.1968,NA,NA,3.7747,NA,NA,NA,3.3674,4.8348,4.6217,NA,2.8245,NA,NA,NA,NA,NA,NA,5.3206,6.2246,3.9282,3.169,4.8687,4.6566,NA,2.8348,NA,NA,4.5436,NA,NA,NA,NA,NA,NA,3.4541,NA,3.1587,NA,NA,NA,4.5343,NA,NA,NA,NA,2.9982,5.3385,5.0901,NA,NA,2.4861,3.226,4.5613,3.9452,NA,1.5234,NA,4.1024,5.157,NA,5.2315,4.9139,4.5234,5.3454,3.1608,NA,4.3383,5.3399,3.438,NA,5.1225,NA,4.713,NA,4.5899,5.2448,NA,3.2408,NA,NA,NA,NA,NA,4.1492,4.7637,3.2129,NA,3.7796,4.4938,4.2157,NA,NA,NA,NA,4.7837,4.1312,4.9998,6.2226,5.3314,5.1726,NA,5.2303,NA,4.9985,3.076,4.262,3.808,6.738,6.5904,4.7762,3.1802,3.0107,2.858,3.091,5.291,4.0417,4.1413,3.3857,NA,4.846,4.2774,NA,NA,NA,NA,NA,NA,NA,3.7336,NA,NA,NA,NA,NA,3.5528,3.8944,NA,NA,4.6515,NA,NA,4.5984,7.4142,5.0948,NA,5.0622,4.9901,NA,NA,NA,3.823,NA,NA,NA,4.978,NA,NA,NA,NA,NA
"BEZ235",3.7451,2.4413,NA,4.43,NA,NA,2.1893,NA,NA,NA,NA,NA,3.3844,NA,NA,NA,4.9585,NA,3.0336,3.1393,NA,2.0916,NA,3.2068,NA,3.7688,3.8968,5.2563,2.1087,4.2337,NA,2.3778,3.3632,3.2463,2.429,1.324,2.8911,2.9151,2.1406,6.1524,NA,NA,5.4127,5.3558,NA,4.2543,6.393,5.6132,NA,NA,4.3534,4.1505,4.7716,6.4714,4.8471,3.0036,2.9125,4.8718,3.5325,NA,NA,3.6444,4.4297,5.2624,5.3995,NA,3.8056,4.4903,7.0348,3.6508,NA,4.334,4.8896,NA,NA,4.4861,4.3276,2.4341,6.2566,NA,4.1702,NA,NA,NA,3.3834,NA,NA,NA,NA,3.6954,3.3708,NA,5.6822,NA,NA,NA,NA,NA,NA,5.9217,6.1335,2.8143,2.8574,4.2301,3.5772,NA,3.6347,NA,NA,4.4632,NA,NA,NA,NA,NA,NA,NA,NA,3.6837,NA,NA,NA,NA,NA,NA,NA,NA,5.1975,4.1201,4.2342,NA,NA,3.9856,3.4385,NA,NA,NA,4.0505,NA,3.9844,4.7322,NA,4.1323,3.2713,4.6378,4.5966,3.4465,NA,4.5335,4.7055,NA,NA,5.5953,NA,3.5575,NA,4.6844,5.6967,NA,2.8943,NA,NA,NA,NA,NA,4.0718,NA,4.6382,NA,3.586,5.3626,5.0682,NA,NA,NA,NA,3.4951,4.487,NA,5.2188,4.4022,3.359,NA,3.6443,NA,2.4521,3.4981,2.5248,NA,6.0117,5.2587,3.6751,2.5092,2.4269,1.7201,1.894,NA,3.1414,3.347,3.6646,NA,2.8837,3.069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8438,NA,NA,NA,NA,NA,4.1531,6.2147,4.7758,NA,3.9289,3.3303,NA,NA,NA,NA,NA,NA,NA,4.3943,NA,NA,NA,NA,NA
"TG-101348",3.9813,3.3368,4.7959,3.4832,5.7788,5.4948,2.8074,5.7988,5.6523,5.5821,4.9654,3.337,2.7361,5.6068,3.9551,5.2159,4.7381,2.0934,3.8712,1.4004,4.0186,1.453,2.6514,4.2962,4.1249,0.95882,1.3323,3.6199,1.0074,3.3874,3.2843,1.6893,4.3115,1.7445,4.0745,1.7094,1.8399,2.5143,2.7401,4.9962,4.1217,4.0557,3.7749,4.668,3.5297,5.417,2.8799,4.6054,5.0212,3.2066,3.7539,5.4786,3.2117,5.3292,5.5219,1.8785,3.0157,5.5744,3.6916,3.6559,3.3553,5.5788,4.0913,3.4686,4.5769,4.0898,4.0599,2.4425,4.8114,4.1671,3.9132,4.4977,3.4191,4.8291,2.4423,5.2878,5.0677,3.2268,5.4489,5.3139,4.2751,5.237,4.0223,4.4879,3.8778,6.6882,5.1246,4.7568,4.1826,4.6447,5.6369,4.6551,4.2926,3.9615,4.0237,5.6725,3.5167,4.5586,4.3957,6.3611,5.5585,3.076,2.936,3.8603,5.1993,4.3139,5.0886,3.751,4.2986,5.2143,4.4881,4.4223,4.4738,3.4492,6.3626,3.1201,4.769,2.9401,4.806,3.468,4.3548,3.8122,3.7301,5.3187,2.4727,3.9732,2.8725,5.9488,4.0975,4.2075,4.0353,4.3517,4.8684,3.7782,5.4676,4.9968,3.7062,3.3662,4.5511,2.7241,6.162,4.6055,5.5236,3.499,4.7682,4.8546,4.1294,4.0792,6.4742,5.2675,3.8385,3.6558,3.6758,4.3156,3.7914,4.2553,3.4288,5.9528,4.3679,3.5297,5.7149,5.1297,3.6658,4.3567,5.5429,4.3242,5.7986,2.2178,4.1197,2.9001,4.6814,4.6144,3.2537,4.878,5.0106,5.3009,4.4797,3.6811,4.9263,4.2622,2.3518,3.7633,5.0073,4.7335,4.8025,2.9691,4.2321,3.3837,5.4062,5.8313,4.82,4.1655,3.9794,3.1783,3.4729,1.8865,5.571,5.1468,3.4708,3.1161,4.0964,3.3884,4.068,3.8027,4.3587,5.2327,3.394,3.7957,4.898,4.1953,6.2807,4.8024,4.5428,2.8766,3.9026,3.535,4.0471,3.1184,4.8274,4.6815,2.1844,5.485,5.5482,5.2044,7.4357,5.5822,2.7065,4.9974,1.7419,3.3079,2.9455,5.8915,4.698,4.6143,5.7895,5.1303,3.0928,3.7279,3.1723,5.0876,2.9252,5.6506
"4-methylfasudil",5.2459,5.0617,NA,5.1218,NA,NA,4.8848,NA,NA,NA,NA,NA,4.1382,NA,NA,NA,5.0012,NA,4.7909,4.3477,NA,3.5798,NA,3.7015,NA,3.4695,2.4125,3.9695,3.1364,4.9746,NA,3.5504,5.043,4.2533,5.0339,4.626,4.5058,3.8372,5.3484,6.1682,NA,NA,3.7659,4.9565,NA,4.9108,5.9477,5.6803,NA,NA,5.0526,6.1868,4.3324,7.031,6.9485,4.3645,5.8628,7.1217,4.9285,NA,NA,6.8333,5.5194,4.654,5.5498,NA,5.8835,1.9558,6.7177,4.9527,NA,3.6144,5.4791,NA,NA,5.9268,5.6616,3.6773,5.2116,NA,2.8609,NA,NA,NA,4.9391,NA,NA,NA,NA,7.4472,6.2243,NA,3.9757,NA,NA,NA,NA,NA,NA,4.8086,9.3446,5.3969,4.1453,5.3808,6.5646,NA,6.061,NA,NA,5.4213,NA,NA,NA,NA,NA,NA,NA,NA,7.6114,NA,NA,NA,NA,NA,NA,NA,NA,6.2906,5.186,6.7304,NA,NA,5.4427,5.2781,NA,NA,NA,2.0316,NA,NA,7.1594,NA,6.2388,4.0549,4.858,5.3061,4.9919,NA,8.1188,6.263,NA,NA,7.3434,NA,5.8344,NA,7.8759,6.5624,NA,4.3677,NA,NA,NA,NA,NA,5.9117,NA,3.4833,NA,5.0628,7.1064,7.0554,NA,NA,NA,NA,4.3961,5.2041,NA,5.8444,3.5633,5.5336,NA,4.9117,NA,5.3622,5.5031,3.6092,NA,7.4869,6.5707,5.29,5.9631,4.306,4.2466,4.604,NA,6.2153,5.2478,7.311,NA,6.0576,5.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1224,NA,NA,NA,NA,NA,5.7393,6.7044,5.9858,NA,5.6792,3.5238,NA,NA,NA,NA,NA,NA,NA,5.8101,NA,NA,NA,NA,NA
"XAV-939",6.7266,6.0326,6.56,5.8323,6.9144,6.5206,5.4103,6.9689,7.1597,6.7898,6.9783,6.0236,5.5254,6.5341,5.5836,5.9682,8.1347,7.3486,6.4324,6.7564,6.7435,6.3375,8.5693,6.481,7.4508,6.9571,5.9901,4.7979,5.8864,6.2761,7.7314,6.1654,6.3137,6.9941,5.7057,5.2508,6.1063,5.7972,6.2143,5.8421,6.2701,7.4095,6.7862,5.9916,7.4926,6.2253,5.8757,6.3263,7.1392,8.112,6.48,6.6609,7.0986,6.0898,6.861,6.6387,6.1126,6.0465,6.135,7.5117,5.2636,6.0861,5.9953,6.6754,6.5424,6.7309,6.4175,7.2809,7.0638,6.5003,6.6963,6.9034,6.3441,5.5224,4.865,5.5007,6.5187,6.7323,6.0147,6.7262,6.9862,5.8228,6.2821,7.0794,6.1071,7.0897,6.5844,6.2217,6.7036,6.2387,6.44,7.0589,7.0858,7.3073,7.3361,7.383,5.7847,6.008,6.3196,6.8456,7.457,6.1003,5.8705,6.1438,6.6138,6.8454,6.3671,6.5951,6.1322,6.657,5.649,6.0223,7.069,6.3127,7.1339,7.3328,5.7347,6.2704,7.0589,5.1176,4.5147,6.2922,6.0105,6.9609,5.147,6.0562,5.6993,6.2889,4.4497,6.1222,6.9578,6.2725,6.5595,6.6685,7.5662,5.8782,5.9392,6.6492,7.2607,6.2769,6.2617,6.9385,5.7424,5.4172,6.4957,4.9332,5.5298,7.7857,7.8898,5.9893,6.3786,6.2399,5.2163,6.3679,6.0917,7.0107,6.3812,6.5885,6.4465,6.3643,7.4368,6.4789,6.3337,7.4804,5.7027,6.4199,6.2049,6.4852,6.3059,6.4612,6.8323,5.3536,6.2068,5.436,6.8559,7.1757,6.7302,6.557,6.797,6.0369,6.9025,6.4943,6.8209,6.6923,6.5035,6.0971,6.233,5.3699,6.4921,6.7665,6.1469,6.7127,5.2148,5.6792,5.9798,5.2808,5.4957,6.7306,5.9567,4.9136,6.7916,6.4554,6.0924,6.4907,6.2227,6.9191,5.9373,5.7164,5.2896,5.7521,6.7822,6.9984,7.3101,5.0929,6.4481,5.9527,6.2548,6.2918,7.6317,6.684,6.71,7.4522,6.7538,7.2452,6.5841,6.1983,5.9595,5.2997,6.1587,7.0147,8.3156,6.9995,6.2767,7.46,7.3109,7.5389,6.4727,6.9293,6.4583,6.8275,6.21,6.765
"BMS-754807",4.8556,1.7998,4.2784,4.8118,NA,5.9393,4.3442,NA,NA,5.7079,NA,4.5112,2.4601,5.0537,NA,5.7466,4.1618,3.0919,3.9038,2.4655,NA,1.2303,NA,3.194,NA,3.2094,1.81,3.4391,2.6796,5.2778,NA,1.1429,3.634,0.85733,5.565,5.6171,4.9433,6.1263,6.32,6.855,NA,NA,3.4704,4.1303,NA,3.1941,4.1599,4.6937,NA,NA,3.7111,5.5677,4.1408,5.7819,1.8799,0.85897,3.562,4.9774,4.1667,NA,NA,5.5174,3.3972,3.8648,5.5968,NA,3.1613,1.4922,4.4868,4.7187,NA,2.7977,4.7997,NA,NA,4.578,3.7936,1.3382,5.7927,6.6644,4.6887,4.7025,NA,NA,3.673,NA,NA,NA,3.2664,3.2751,3.1474,NA,5.4792,NA,NA,NA,NA,NA,NA,6.803,7.1697,2.7356,3.8871,3.0331,6.1848,NA,5.3566,NA,NA,6.1006,NA,NA,NA,NA,NA,NA,3.2776,NA,3.6649,NA,NA,NA,5.4596,NA,NA,NA,NA,3.8439,5.2808,3.6301,NA,NA,2.7362,1.5826,6.2743,4.6518,NA,2.8925,NA,1.9439,4.1901,NA,6.7358,1.7647,2.1466,4.4818,1.7244,NA,3.2322,4.415,3.2106,NA,4.6358,NA,3.5103,NA,3.9982,4.8911,NA,2.4253,NA,NA,NA,NA,NA,2.8647,4.5942,2.6596,NA,3.9737,5.3339,5.697,NA,NA,NA,NA,3.9449,3.6324,5.9016,3.6986,4.1072,5.7725,NA,7.0406,NA,4.9218,5.9301,5.2916,4.6487,6.3176,4.7576,4.5873,3.0866,4.0027,4.5876,2.6773,5.8158,6.1123,3.8012,3.4985,NA,4.9945,5.015,NA,NA,NA,NA,NA,NA,NA,3.1807,NA,NA,NA,NA,NA,4.5061,3.5248,NA,NA,3.5601,NA,NA,4.5093,6.3946,6.3709,NA,4.8162,3.4764,NA,NA,NA,5.5122,NA,NA,NA,5.4366,NA,NA,NA,NA,NA
"BRD6368",4.6483,5.4242,5.9049,3.9127,5.1659,5.3269,3.5866,5.6395,5.4375,6.2207,6.2669,5.0145,2.8084,5.2157,5.9827,6.1218,5.7338,4.0957,4.976,3.3598,4.2769,4.4657,3.1456,6.1616,4.7299,5.8681,3.6653,2.2348,2.9519,5.0473,4.7847,2.7155,4.1528,3.1715,4.5918,1.4034,2.8653,3.5792,2.7079,6.1791,6.3456,5.7208,5.7636,5.8875,4.6423,3.6353,3.4662,3.2869,4.3496,5.5671,3.2273,3.9604,5.8532,5.5972,3.5436,4.3779,4.1886,2.636,3.979,5.0064,3.1364,5.5037,5.4722,3.9979,5.5049,4.1964,4.5326,4.0144,5.1012,4.888,6.25,3.7569,3.8921,5.59,4.5373,1.2104,0.98987,3.325,5.9529,6.9082,4.5935,4.5077,4.8376,5.7273,5.1861,5.4876,5.1027,5.3452,4.6001,4.2226,5.5478,5.1226,4.626,5.615,5.6667,6.5584,5.2484,5.8705,4.7166,5.9245,6.6323,4.256,4.8176,4.9583,5.6596,4.9052,4.9412,4.9589,4.4383,5.8759,5.2082,5.2153,4.8841,4.995,5.989,3.6785,5.1203,3.892,2.1174,4.5406,4.537,4.4925,5.3099,5.3155,2.951,5.614,4.2123,4.742,4.8739,5.1197,5.5276,6.1943,4.6188,2.6706,6.271,3.3721,4.8055,1.764,5.4535,5.3274,5.6416,5.709,5.3375,4.6997,5.0131,4.6956,3.2775,8.6216,3.4964,5.7252,4.8121,4.3888,4.7055,5.0199,3.6695,5.2871,4.0127,5.3508,5.6513,3.0417,6.9329,4.8248,4.9097,4.3824,4.2635,5.5831,5.353,4.3054,3.416,4.4393,6.5199,5.0863,4.4202,3.6286,4.6434,5.4695,4.8343,5.0926,6.0403,5.8618,3.4984,5.3129,6.6721,5.8695,4.3757,5.0513,5.3032,5.9033,4.7059,6.2438,6.2287,3.1959,4.2624,3.1331,4.0453,4.6411,6.485,5.1289,4.7979,4.0274,6.0948,4.3596,4.4107,3.9195,5.6832,5.7857,5.4481,4.6962,4.8559,6.0593,5.6632,5.0826,4.7719,2.4383,5.8666,4.8826,5.0934,3.9961,5.2729,5.3743,5.6253,5.3528,6.6186,4.9586,5.1375,4.1483,4.1138,4.4697,5.0503,5.2445,3.566,6.3069,4.9765,6.0202,5.7277,5.425,5.3893,4.7506,4.388,5.0383,4.3486,5.6391
"gemcitabine",5.572,5.0787,NA,5.8826,NA,NA,6.1618,NA,NA,NA,NA,NA,1.8665,NA,NA,NA,5.4935,NA,1.706,1.7522,NA,6.0013,NA,5.2599,NA,1.6465,1.0989,0.28152,6.5865,4.6342,NA,2.5192,4.5677,2.8365,1.4311,1.6512,1.0628,2.1752,0.43774,4.5596,NA,NA,3.2071,6.3112,NA,NA,6.8112,6.4139,NA,NA,2.7763,4.6658,4.8639,6.9156,4.485,6.3875,3.0726,6.872,1.9527,NA,NA,3.9418,5.4174,4.3958,3.2489,NA,6.8682,4.5624,6.4811,6.8778,NA,6.1534,5.8661,NA,NA,5.8018,4.92,6.7375,5.7977,NA,6.4614,NA,NA,NA,5.0808,NA,NA,NA,NA,4.7844,4.7651,NA,3.8106,NA,NA,NA,NA,NA,NA,6.9998,5.3136,3.7829,5.115,6.2999,6.0424,NA,5.573,NA,NA,5.6837,NA,NA,NA,NA,NA,NA,NA,NA,4.3531,NA,NA,NA,NA,NA,NA,NA,NA,3.6253,5.1156,6.4203,NA,NA,6.3737,2.4825,NA,NA,NA,6.741,NA,6.0922,5.5565,NA,6.4593,6.2904,5.8457,7.722,3.7016,NA,5.0796,6.6671,NA,NA,5.0989,NA,9.0436,NA,4.2558,3.5944,NA,2.8052,NA,NA,NA,NA,NA,4.7989,NA,1.3236,NA,6.8466,6.0697,5.9813,NA,NA,NA,NA,2.7572,1.4867,NA,6.1885,5.0181,5.8649,NA,6.5258,NA,4.6103,3.2388,7.157,NA,4.4213,5.8028,3.9319,5.2127,1.2829,2.201,6.4485,NA,4.8839,5.2767,6.047,NA,5.9218,2.7918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8564,NA,NA,NA,NA,NA,6.8595,7.0974,4.9115,NA,3.831,5.337,NA,NA,NA,NA,NA,NA,NA,5.5854,NA,NA,NA,NA,NA
